time,high
1320,1.0729
1321,1.07315
1322,1.074
1323,1.07494
1324,1.07425
1325,1.07512
1326,1.07561
1327,1.07607
1328,1.07501
1329,1.07522
1330,1.07658
1331,1.07661
1332,1.07726
1333,1.07597
1334,1.07612
1335,1.07743
1336,1.07795
1337,1.07823
1338,1.07847
1339,1.07827
1340,1.07805
1341,1.07803
1342,1.0778
1343,1.07768
1344,1.07729
1345,1.07588
1346,1.07429
1347,1.075
1348,1.07491
1349,1.07482
1350,1.07501
1351,1.07397
1352,1.0741
1353,1.07356
1354,1.07299
1355,1.07118
1356,1.07015
1357,1.0698
1358,1.0699
1359,1.07126
1360,1.07239
1361,1.07308
1362,1.07323
1363,1.07386
1364,1.07362
1365,1.07332
1366,1.07339
1367,1.07345
1368,1.07351
1369,1.07307
1370,1.07186
1371,1.07146
1372,1.07178
1373,1.07131
1374,1.07104
1375,1.07159
1376,1.07243
1377,1.07266
1378,1.07205
1379,1.07212
1380,1.07113
1381,1.07166
1382,1.07166
1383,1.06802
1384,1.06476
1385,1.06431
1386,1.06457
1387,1.0652
1388,1.06552
1389,1.06507
1390,1.06517
1391,1.06516
1392,1.06524
1393,1.06527
1394,1.06521
1395,1.06517
1396,1.0652
1397,1.06554
1398,1.06577
1399,1.06683
1400,1.06834
1401,1.06896
1402,1.06859
1403,1.06899
1404,1.06906
1405,1.07007
1406,1.0702
1407,1.0707
1408,1.07255
1409,1.07376
1410,1.07432
1411,1.07437
1412,1.07435
1413,1.07481
1414,1.0745
1415,1.07489
1416,1.07491
1417,1.0755
1418,1.07579
1419,1.07603
1420,1.07559
1421,1.07502
1422,1.07504
1423,1.07546
1424,1.07529
1425,1.0756
1426,1.07495
1427,1.07406
1428,1.07361
1429,1.0722
1430,1.07334
1431,1.07321
1432,1.07169
1433,1.07198
1434,1.07225
1435,1.0719
1436,1.07198
1437,1.07185
1438,1.07207
1439,1.07204
1440,1.07257
1441,1.07238
1442,1.07162
1443,1.07202
1444,1.07236
1445,1.07247
1446,1.07315
1447,1.0726
1448,1.0733
1449,1.07452
1450,1.07451
1451,1.07351
1452,1.07282
1453,1.07234
1454,1.07144
1455,1.07079
1456,1.07027
1457,1.06961
1458,1.06988
1459,1.06941
1460,1.06913
1461,1.06946
1462,1.0696
1463,1.06935
1464,1.06902
1465,1.06861
1466,1.0679
1467,1.06759
1468,1.06791
1469,1.06891
1470,1.06772
1471,1.06791
1472,1.06883
1473,1.06918
1474,1.06829
1475,1.0677
1476,1.06669
1477,1.06635
1478,1.06749
1479,1.06923
1480,1.0699
1481,1.07021
1482,1.06975
1483,1.07037
1484,1.07089
1485,1.07068
1486,1.0705
1487,1.07055
1488,1.07017
1489,1.06962
1490,1.0689
1491,1.06909
1492,1.06866
1493,1.06816
1494,1.06844
1495,1.06902
1496,1.06885
1497,1.06854
1498,1.06903
1499,1.07163
1500,1.07276
1501,1.073
1502,1.07367
1503,1.0737
1504,1.07351
1505,1.07343
1506,1.07227
1507,1.07166
1508,1.07163
1509,1.0715
1510,1.0717
1511,1.07183
1512,1.07183
1513,1.07138
1514,1.07123
1515,1.07172
1516,1.07269
1517,1.07296
1518,1.07241
1519,1.07145
1520,1.07093
1521,1.07059
1522,1.07154
1523,1.07189
1524,1.0719
1525,1.07489
1526,1.0712
1527,1.06664
1528,1.0656
1529,1.06528
1530,1.06365
1531,1.0635
1532,1.06198
1533,1.06159
1534,1.06176
1535,1.06168
1536,1.06176
1537,1.06181
1538,1.06215
1539,1.06269
1540,1.06321
1541,1.06325
1542,1.06365
1543,1.06272
1544,1.06309
1545,1.06204
1546,1.06041
1547,1.05964
1548,1.05833
1549,1.05539
1550,1.05334
1551,1.05207
1552,1.05228
1553,1.05187
1554,1.05242
1555,1.05183
1556,1.05226
1557,1.05194
1558,1.05158
1559,1.05112
1560,1.05
1561,1.04881
1562,1.04811
1563,1.04872
1564,1.04912
1565,1.04864
1566,1.04908
1567,1.04797
1568,1.04753
1569,1.04712
1570,1.04714
1571,1.0465
1572,1.0457
1573,1.04602
1574,1.0452
1575,1.04314
1576,1.04283
1577,1.04449
1578,1.04462
1579,1.04368
1580,1.04264
1581,1.04062
1582,1.04087
1583,1.04092
1584,1.04115
1585,1.04141
1586,1.04109
1587,1.04101
1588,1.04237
1589,1.04297
1590,1.04286
1591,1.04385
1592,1.04563
1593,1.0474
1594,1.04498
1595,1.04336
1596,1.04442
1597,1.04553
1598,1.04468
1599,1.04268
1600,1.04163
1601,1.04183
1602,1.04309
1603,1.04211
1604,1.04076
1605,1.04143
1606,1.04168
1607,1.04204
1608,1.04317
1609,1.04335
1610,1.04419
1611,1.04431
1612,1.04428
1613,1.04338
1614,1.04499
1615,1.04735
1616,1.04698
1617,1.04867
1618,1.04876
1619,1.04833
1620,1.04723
1621,1.04325
1622,1.0416
1623,1.04207
1624,1.03985
1625,1.03865
1626,1.03951
1627,1.04072
1628,1.04399
1629,1.04573
1630,1.04454
1631,1.04482
1632,1.04507
1633,1.04607
1634,1.04451
1635,1.04399
1636,1.04462
1637,1.044
1638,1.04345
1639,1.04221
1640,1.0399
1641,1.03985
1642,1.04095
1643,1.0402
1644,1.0405
1645,1.04104
1646,1.04507
1647,1.04676
1648,1.05103
1649,1.05476
1650,1.05778
1651,1.05752
1652,1.0569
1653,1.05535
1654,1.05527
1655,1.05532
1656,1.05476
1657,1.05438
1658,1.05356
1659,1.05308
1660,1.05274
1661,1.05253
1662,1.05235
1663,1.05102
1664,1.05124
1665,1.05141
1666,1.05234
1667,1.05194
1668,1.05035
1669,1.0492
1670,1.04871
1671,1.04659
1672,1.04663
1673,1.04706
1674,1.04832
1675,1.04965
1676,1.04928
1677,1.0495
1678,1.04881
1679,1.04836
1680,1.04888
1681,1.0491
1682,1.04957
1683,1.05083
1684,1.05236
1685,1.05266
1686,1.05269
1687,1.05334
1688,1.05201
1689,1.05198
1690,1.05352
